# Constructed from biom file
#OTU ID	770244.RM	VA033.RM	61.LM.170	69.RML.170	VA011.RM	770256.RM	770365.RM	VA014.RLL	770214.RLL	VA035.RLL	770349.Ling	VA048.RUL	VA008.Lesion	VA038B.LING	770274.RUL	VA032.LLL	770255.RLL	770282.LUL	770341.RUL	770176.RM.170	VA002.RML	770178.LLL.170	770198.LLL.170	770305.LLL	VA016.LUL	770338.LUL	770273.LLL	VA039.RM	770262.RM	61.RLL.167	770312.RM	770183.RM.170	770175.RM.170	770185.LLL.170	59.LLL.167	41.LLL.58.65.170	770190.RLL.170	770183.LLL.170	770206.LM	59.RM.167	42.RML.167	770353.LLL	VA028.RM	62.RM.170	770359.RLL	770210.RLL	770178.RM.170	770174.RM.170	770176.LLL.170	770301.RLL	VA021.RLL	770185.RM.170	770360.RLL	770192.LLL.170	770186.RM.170	770254.LLL	770239.RUL	770230.LLL	VA015.RLL	VA024.RLL	770180.RLL.170	770198.RM.170	770192.RM.170	VA031.RM	770190.LM.170	770278.RMS	770186.LLL.170	770203.1736.RUL.170	770195.RM.170	770328.LM	770195.LLL.170
4017244	0.0	0.0	0.0	0.0	0.0	83.0	0.0	450.0	85.0	0.0	0.0	0.0	0.0	168.0	0.0	56.0	49.0	0.0	0.0	0.0	15.0	0.0	0.0	9.0	0.0	0.0	7.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	533.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	497.0	0.0	0.0	0.0	0.0	328.0	0.0	0.0	212.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	10.0	0.0	397.0	894.0	138.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	235.0	0.0	0.0	3.0	214.0	0.0	0.0	0.0	189.0	112.0	0.0	0.0	0.0	107.0	0.0	0.0	0.0	364.0	0.0	0.0	0.0	0.0	167.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
361839	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	233.0	57.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
228207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	143.0	72.0	0.0	0.0	0.0	99.0	0.0	0.0	32.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
922397	0.0	45.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	0.0	0.0	0.0	0.0	0.0	279.0	0.0	11.0	119.0	0.0	28.0	0.0	157.0	17.0	0.0	0.0	0.0	50.0	0.0	13.0	104.0	12.0	109.0	33.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
810955	0.0	1.0	0.0	2.0	52.0	664.0	569.0	2003.0	1350.0	206.0	423.0	1464.0	2015.0	1.0	136.0	160.0	984.0	58.0	173.0	0.0	56.0	0.0	19.0	9.0	329.0	516.0	16.0	144.0	288.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	161.0	1.0	0.0	467.0	53.0	1.0	857.0	32.0	0.0	13.0	43.0	531.0	603.0	0.0	2627.0	0.0	0.0	0.0	1948.0	46.0	0.0	2919.0	0.0	0.0	0.0	0.0	0.0	253.0	0.0	39.0	0.0	2.0	0.0
137183	0.0	0.0	113.0	120.0	19.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	110.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	374.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
949789	1.0	2.0	83.0	2.0	0.0	7.0	10.0	21.0	6.0	0.0	37.0	0.0	11.0	0.0	0.0	0.0	0.0	32.0	10.0	0.0	0.0	76.0	38.0	106.0	0.0	13.0	48.0	0.0	74.0	0.0	9.0	55.0	68.0	6.0	36.0	75.0	0.0	21.0	48.0	15.0	26.0	0.0	46.0	0.0	4.0	8.0	45.0	0.0	0.0	0.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	7.0	0.0	0.0	1.0	9.0	0.0	10.0	0.0	0.0	0.0	0.0
4301566	0.0	1.0	7.0	12.0	0.0	1.0	6.0	2.0	7.0	0.0	1.0	0.0	1.0	0.0	5.0	0.0	0.0	9.0	20.0	2.0	0.0	56.0	45.0	15.0	2.0	2.0	16.0	0.0	3.0	12.0	6.0	23.0	6.0	21.0	15.0	61.0	3.0	34.0	35.0	21.0	11.0	13.0	7.0	2.0	1.0	10.0	31.0	63.0	2.0	0.0	3.0	2.0	8.0	5.0	0.0	2.0	0.0	0.0	3.0	0.0	10.0	8.0	12.0	4.0	20.0	4.0	0.0	5.0	0.0	0.0	0.0
439036	0.0	0.0	0.0	2773.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.0	0.0	0.0	2.0	1.0	0.0	108.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	115.0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	88.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
580411	143.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	244.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	145.0	0.0	0.0	98.0	0.0	0.0	0.0	1.0	355.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	436.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147.0	0.0	0.0	0.0	0.0	0.0	0.0
1047041	89.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	273.0	14.0	36.0	25.0	0.0	74.0	6.0	71.0	97.0	6.0	0.0	2.0	11.0	66.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	44.0	0.0	161.0	0.0	0.0	103.0	0.0	0.0	0.0	0.0	84.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
605681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	15.0	8.0	41.0	0.0	176.0	0.0	59.0	96.0	150.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	182.0	0.0	20.0	34.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0
895220	3.0	0.0	0.0	0.0	1.0	3.0	1.0	4.0	6.0	13.0	0.0	0.0	30.0	0.0	20.0	4.0	29.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	40.0	0.0	9.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	4.0	10.0	0.0	0.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	67.0	4.0	0.0	2.0	0.0	9.0	12.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
585221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	35.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	22.0	0.0	0.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
420127	0.0	0.0	111.0	20.0	0.0	0.0	0.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	203.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	203.0	32.0	0.0	0.0	0.0	0.0
875704	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	102.0	0.0	0.0	80.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	208.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
865469	60.0	216.0	459.0	291.0	0.0	77.0	634.0	0.0	221.0	1.0	768.0	0.0	139.0	1.0	1.0	20.0	1.0	2098.0	0.0	0.0	8.0	46.0	9800.0	2596.0	63.0	1476.0	4639.0	198.0	4355.0	0.0	320.0	185.0	50.0	0.0	582.0	1012.0	124.0	212.0	4348.0	3161.0	1092.0	699.0	810.0	520.0	0.0	477.0	118.0	0.0	0.0	312.0	1842.0	1.0	2.0	652.0	541.0	1680.0	83.0	56.0	487.0	133.0	17.0	1.0	130.0	605.0	339.0	1.0	2910.0	135.0	0.0	1.0	0.0
