#SampleID	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	Intercept	C(Advanced_Stage_label)[T.Local]	C(Advanced_Stage_label)[T.n.a]	C(Smoking_status)[T.Current]	C(Smoking_status)[T.Former]	C(Smoking_status)[T.Never]	C(Smoking_status)[T.current]
1108275	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Limnohabitans	s__	0.365949359	0.827127041	-1.104067929	0.578941173	-0.210871223	1.387544874	-1.174774292
1097359	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__lwoffii	-1.20066515	-0.591513319	-0.624124058	1.146737239	0.19288325	-0.896907713	-0.001831177
4369121	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__	s__	-0.73123375	1.086252706	-0.970397599	0.548948294	-0.157480839	2.083933148	-0.118995908
205209	k__Bacteria	p__OD1	c__SM2F11	o__	f__	g__	s__	0.028241362	-4.42116229	-1.495741017	-3.209394568	0.41144782	-1.457324889	-0.717697504
141815	k__Bacteria	p__Armatimonadetes	c__Armatimonadia	o__Armatimonadales	f__Armatimonadaceae	g__Armatimonas	s__	-1.351094876	0.8153656	-0.555829413	0.642757899	-0.156328443	-0.039043453	0.170714972
146094	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__	-0.033458028	-1.281239433	-1.482246049	0.530229873	0.992453967	-1.648433831	-0.722672227
579331	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Cryptophyta	f__	g__	s__	-1.224754009	0.502143154	-0.650529631	-2.274521464	-0.294741038	-0.263960388	-0.02218962
685193	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Gemmatales	f__Isosphaeraceae	g__	s__	-1.369033251	1.223206298	-0.546957262	0.364548809	-1.029379967	-1.672883418	0.098829624
1719556	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Gemmatales	f__Gemmataceae	g__Gemmata	s__	-0.247030173	0.43956417	1.471848003	-2.885917299	0.362074789	1.456050668	-0.679037097
1105574	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__	s__	-0.326356325	-1.4760112	-1.254430779	-0.361324185	1.039229755	-1.140790131	-0.638532164
624227	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__	g__	s__	-0.306562934	-0.661605878	-1.256608136	0.750233627	1.158545927	-0.646875765	-0.089711669
915948	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardiaceae	g__Rhodococcus	s__	-1.156352911	1.16592695	1.698627822	2.009695	1.306610075	2.449756238	0.003767488
